delivery_id,region,distance_km,hour_of_day,day_of_week,weather,traffic_index,shipment_volume,weight_kg,transportation_cost,actual_delivery_minutes,promised_window_minutes,delay_flag
363,North,5.72,17,3,Fog,0.476,6,9.63,9.71,54.6,45,1
364,North,4.62,7,4,Snow,0.34,2,4.73,5.8,34.2,45,0
365,West,9.12,14,6,Snow,0.293,8,15.44,15.18,71.3,60,1
366,South,7.17,20,2,Clear,0.429,4,9.18,8.36,39.8,45,0
367,West,6.97,10,1,Clear,0.297,3,4.49,8.15,35.0,45,0
368,West,13.4,10,5,Clear,0.202,1,1.82,12.77,54.7,60,0
369,South,11.55,19,0,Clear,0.382,6,8.45,12.83,56.4,60,0
370,Central,6.19,7,3,Fog,0.24,4,6.54,7.66,31.1,45,0
371,West,7.17,12,5,Clear,0.379,1,1.7,5.83,36.6,45,0
372,South,9.6,13,3,Clear,0.362,5,7.55,12.37,52.1,60,0
373,South,9.14,18,2,Clear,0.449,4,5.26,11.88,55.8,60,0
374,South,8.73,8,5,Clear,0.837,5,6.17,12.27,58.7,60,0
375,North,9.12,13,2,Clear,0.468,5,4.32,9.95,53.1,60,0
376,North,7.83,9,4,Clear,0.6,7,9.64,12.49,56.1,45,1
377,Central,5.35,18,3,Fog,0.327,8,16.41,11.69,42.7,45,0
378,South,9.14,15,0,Clear,0.355,4,4.64,10.02,52.1,60,0
379,South,8.52,13,3,Rain,0.486,5,6.26,11.77,61.0,60,1
380,West,5.35,12,0,Rain,0.349,6,15.1,10.24,39.0,45,0
381,East,5.38,9,6,Clear,0.69,7,10.82,9.52,54.4,45,1
382,Central,2.63,19,4,Clear,0.3,8,15.43,6.42,28.4,30,0
383,West,6.41,16,2,Rain,0.391,5,10.28,8.65,47.8,45,1
384,East,8.73,11,3,Clear,0.361,4,8.26,10.79,48.5,60,0
385,South,11.43,12,4,Snow,0.48,4,4.76,15.22,77.3,60,1
386,Central,6.65,17,1,Clear,0.481,1,1.71,7.11,37.9,45,0
387,West,9.64,17,2,Rain,0.53,4,4.61,13.25,67.4,60,1
388,Central,6.64,13,2,Rain,0.436,3,8.34,7.59,46.9,45,1
389,North,6.53,11,1,Clear,0.347,5,5.81,9.08,42.9,45,0
390,Central,4.23,16,5,Clear,0.469,5,6.9,6.36,36.5,45,0
391,East,2.9,16,0,Fog,0.444,6,8.3,6.27,27.5,30,0
392,North,7.33,15,5,Clear,0.411,7,8.41,10.8,42.2,45,0
393,East,5.33,8,2,Clear,0.509,7,16.39,9.92,44.1,45,0
394,West,6.36,13,3,Clear,0.55,3,8.31,7.07,38.1,45,0
395,North,6.39,15,1,Clear,0.396,3,4.83,7.24,42.2,45,0
396,East,5.03,20,2,Rain,0.389,5,6.36,8.38,35.9,45,0
397,West,12.87,14,5,Rain,0.43,8,7.24,18.09,81.7,60,1
398,South,9.68,11,1,Clear,0.59,5,8.51,11.58,66.3,60,1
399,East,5.22,14,0,Rain,0.286,2,3.35,6.61,37.3,45,0
400,South,8.32,9,3,Clear,0.671,7,10.78,12.85,55.2,60,0
